pmid,max_micro_abs_rho,strong_microenvironment_correlation,normal_mucosa_elevation_significant,m0_global_q,m3_global_q,unadjusted_fdr_significant,adjusted_fdr_significant,lost_fdr_significance,classification_v6_standard
26802582,0.3666512634871586,False,False,0.613177628679346,0.9733988117985963,False,False,False,unclassified_standard
28400426,0.6575700564656516,True,True,0.1007401848184006,0.0731920495742894,False,False,False,microenvironment_correlated_standard
29147616,0.9094303834343582,True,True,0.49346534165078454,0.2858738917631054,False,False,False,microenvironment_correlated_standard
30642841,0.25670184736425294,False,False,0.03200223153857265,0.14075634984323124,True,False,True,microenvironment_associated_attenuation_standard
30846479,0.6995427444396731,True,True,0.05783844271714103,0.010044782086251517,False,True,False,microenvironment_correlated_standard
31894276,0.8353590209866523,True,True,0.4551552898553719,0.9733988117985963,False,False,False,microenvironment_correlated_standard
32096345,0.9174521620299397,True,True,0.376881184255396,0.4544408935971472,False,False,False,microenvironment_correlated_standard
32117435,0.697370680340662,True,True,0.7286906182135403,0.9574327827948695,False,False,False,microenvironment_correlated_standard
32467671,0.18886923502097308,False,False,0.937018112334,0.40260261865765773,False,False,False,unclassified_standard
32695477,0.8590735465343,True,True,0.09381339181745917,0.11300705004772896,False,False,False,microenvironment_correlated_standard
32763782,0.8431334136271589,True,True,0.10643671384512336,0.0713448908935941,False,False,False,microenvironment_correlated_standard
32929335,0.3352676191976433,False,True,0.6616316493270334,0.9251908389167466,False,False,False,microenvironment_correlated_standard
33208770,0.2262462472090086,False,False,0.9023945886232215,0.691308885153653,False,False,False,unclassified_standard
33292266,0.5700475258475936,True,True,0.020809474828123432,0.17473270974510094,True,False,True,microenvironment_associated_attenuation_standard
33313125,0.5662945036543761,True,True,0.6059235694283235,0.6059235694283235,False,False,False,microenvironment_correlated_standard
33391264,0.1407091237481577,False,False,0.033283061676432114,0.39278246306361897,True,False,True,microenvironment_associated_attenuation_standard
33392066,0.6504695400840773,True,True,0.20516107851622206,0.7885922392823858,False,False,False,microenvironment_correlated_standard
33456631,0.7443371736470608,True,True,0.37008368773938577,0.501492007557985,False,False,False,microenvironment_correlated_standard
33459039,0.593349433201014,True,False,0.2079633804858159,0.18910270810031024,False,False,False,microenvironment_correlated_standard
33535616,0.13768546625239408,False,False,0.9002995508972897,0.49527329858123587,False,False,False,unclassified_standard
33545950,0.27077201989322175,False,False,0.16956876416526806,0.3686856274792796,False,False,False,unclassified_standard
33837006,0.5320172914305197,True,True,0.3507857736488931,0.38523777586717917,False,False,False,microenvironment_correlated_standard
33925460,0.23064863826747833,False,False,0.0010502629899710899,0.04777734995355406,True,True,False,composition_adjustment_persistent_standard
33937319,0.8348496062941152,True,True,0.9928018793158647,0.9137520205736573,False,False,False,microenvironment_correlated_standard
33962639,0.1504686152767686,False,False,0.5633524174052918,0.8031970110522847,False,False,False,unclassified_standard
33985530,0.4256240676786319,True,True,0.6123626100707422,0.301771865448804,False,False,False,microenvironment_correlated_standard
34095228,0.2051754374878041,False,False,0.9315695701623173,0.9397903832620385,False,False,False,unclassified_standard
34112144,0.8265873777982742,True,True,0.9137520205736573,0.9003617382507035,False,False,False,microenvironment_correlated_standard
34266411,0.9570776890545047,True,True,0.3856083506233709,0.44558261604816396,False,False,False,microenvironment_correlated_standard
34329197,0.7163004070076966,True,True,0.412171086791175,0.020553764447636555,False,True,False,microenvironment_correlated_standard
34339395,0.44138355489147535,True,False,0.6344446857617999,0.2858738917631054,False,False,False,microenvironment_correlated_standard
34368227,0.6854926094023925,True,True,0.4164464364415174,0.9881252665510774,False,False,False,microenvironment_correlated_standard
34404901,0.7540118911723751,True,False,0.1195659173789375,0.26389560921892835,False,False,False,microenvironment_correlated_standard
34418989,0.28891982198075844,False,False,0.0024569141312613388,0.054428829941979937,True,False,True,microenvironment_associated_attenuation_standard
34422642,0.19009229268671626,False,False,0.3156893229226542,0.7116367779275844,False,False,False,unclassified_standard
34426176,0.967938626087766,True,True,0.356496860965078,0.40792553965862655,False,False,False,microenvironment_correlated_standard
34490263,0.6328662953668077,True,True,0.006683047592573273,0.006041193207435775,True,True,False,microenvironment_correlated_standard
34512654,0.2876793471107016,False,False,0.1656055058425483,0.17653579833799637,False,False,False,unclassified_standard
34512722,0.7321183112155389,True,True,0.6121684589309756,0.7238132613925774,False,False,False,microenvironment_correlated_standard
34521394,0.0389912633453548,False,True,0.6923480878529641,0.7473771976872164,False,False,False,microenvironment_correlated_standard
34530089,0.8521196121111533,True,True,0.7401835515634346,0.9881252665510774,False,False,False,microenvironment_correlated_standard
34644219,0.31286801550840204,False,False,0.0002730295936834813,0.011977394418007305,True,True,False,composition_adjustment_persistent_standard
34706720,0.915144459525654,True,True,0.3870949745486013,0.6459257187488843,False,False,False,microenvironment_correlated_standard
